Watching for file changes with StatReloader
System check identified some issues:

WARNINGS:
?: (ckeditor.W001) django-ckeditor bundles CKEditor 4.22.1 which isn't supported anymore and which does have unfixed security issues, see for example https://ckeditor.com/cke4/release/CKEditor-4.24.0-LTS . You should consider strongly switching to a different editor (maybe CKEditor 5 respectively django-ckeditor-5 after checking whether the CKEditor 5 license terms work for you) or switch to the non-free CKEditor 4 LTS package. See https://ckeditor.com/ckeditor-4-support/ for more on this. (Note! This notice has been added by the django-ckeditor developers and we are not affiliated with CKSource and were not involved in the licensing change, so please refrain from complaining to us. Thanks.)

System check identified 1 issue (0 silenced).
HTTP GET /admin/ 200 [1.17, 127.0.0.1:12868]
HTTP GET /media/blog/81ttfrcfLZL._AC_SX679_.jpg 200 [0.30, 127.0.0.1:12868]
HTTP GET /media/blog/Blender_logo_no_text.svg.png 200 [0.06, 127.0.0.1:12870]
HTTP GET /media/blog/ecommerce-marketing-strategies.png 200 [0.26, 127.0.0.1:12869]
HTTP GET /api/v1/notifications/unread_count/ 200 [0.04, 127.0.0.1:12869]
HTTP GET /api/v1/notifications/unread_count/ 200 [0.02, 127.0.0.1:12869]
HTTP GET /api/v1/notifications/unread_count/ 200 [0.02, 127.0.0.1:12869]
Not Found: /.well-known/appspecific/com.chrome.devtools.json
HTTP GET /.well-known/appspecific/com.chrome.devtools.json 404 [0.11, 127.0.0.1:12869]
HTTP GET /admin/ 200 [0.12, 127.0.0.1:12869]
HTTP GET /static/unfold/fonts/inter/styles.css 200 [0.02, 127.0.0.1:12985]
Not Found: /.well-known/appspecific/com.chrome.devtools.json
HTTP GET /.well-known/appspecific/com.chrome.devtools.json 404 [0.04, 127.0.0.1:12869]
HTTP GET /static/unfold/fonts/material-symbols/styles.css 200 [0.05, 127.0.0.1:12985]
HTTP GET /static/admin/css/custom_admin.css 200 [0.02, 127.0.0.1:12985]
HTTP GET /static/admin/css/custom.css 200 [0.09, 127.0.0.1:12869]
HTTP GET /static/admin/css/custom_table.css 200 [0.03, 127.0.0.1:12985]
HTTP GET /static/admin/css/light-mode-fix.css 200 [0.02, 127.0.0.1:12985]
HTTP GET /static/admin/css/dashboard-redesign.css 200 [0.05, 127.0.0.1:12869]
HTTP GET /static/unfold/css/styles.css 200 [0.08, 127.0.0.1:12985]
HTTP GET /static/unfold/css/simplebar/simplebar.css 200 [0.07, 127.0.0.1:12869]
HTTP GET /static/admin/css/responsive.css 200 [0.06, 127.0.0.1:12993]
HTTP GET /media/blog/81ttfrcfLZL._AC_SX679_.jpg 200 [0.06, 127.0.0.1:12990]
HTTP GET /static/admin/css/notifications.css 200 [0.08, 127.0.0.1:12992]
HTTP GET /media/site/Gemini_Generated_Image_e561cie561cie561-removebg-preview_2zElImP.png 200 [0.10, 127.0.0.1:12991]
HTTP GET /media/blog/ecommerce-marketing-strategies.png 200 [0.13, 127.0.0.1:12990]
HTTP GET /media/blog/Blender_logo_no_text.svg.png 200 [0.07, 127.0.0.1:12993]
HTTP GET /admin/ 200 [0.09, 127.0.0.1:12993]
HTTP GET /static/unfold/fonts/inter/styles.css 200 [0.03, 127.0.0.1:12993]
HTTP GET /static/admin/css/custom.css 200 [0.03, 127.0.0.1:12991]
HTTP GET /static/unfold/fonts/material-symbols/styles.css 200 [0.03, 127.0.0.1:12990]
HTTP GET /static/admin/css/custom_table.css 200 [0.03, 127.0.0.1:12869]
HTTP GET /static/admin/css/custom_admin.css 200 [0.03, 127.0.0.1:12992]
Not Found: /.well-known/appspecific/com.chrome.devtools.json
HTTP GET /.well-known/appspecific/com.chrome.devtools.json 404 [0.09, 127.0.0.1:12985]
HTTP GET /static/admin/css/dashboard-redesign.css 200 [0.04, 127.0.0.1:12991]
HTTP GET /static/admin/css/light-mode-fix.css 200 [0.02, 127.0.0.1:12869]
HTTP GET /static/admin/css/notifications.css 200 [0.03, 127.0.0.1:12985]
HTTP GET /static/admin/css/responsive.css 200 [0.03, 127.0.0.1:12993]
HTTP GET /static/unfold/css/styles.css 200 [0.03, 127.0.0.1:12992]
HTTP GET /static/unfold/css/simplebar/simplebar.css 200 [0.04, 127.0.0.1:12990]
HTTP GET /media/site/Gemini_Generated_Image_e561cie561cie561-removebg-preview_2zElImP.png 200 [0.03, 127.0.0.1:12985]
HTTP GET /media/blog/ecommerce-marketing-strategies.png 200 [0.06, 127.0.0.1:12993]
HTTP GET /media/blog/Blender_logo_no_text.svg.png 200 [0.06, 127.0.0.1:12991]
HTTP GET /media/blog/81ttfrcfLZL._AC_SX679_.jpg 200 [0.07, 127.0.0.1:12990]
HTTP GET /admin/ 200 [0.06, 127.0.0.1:12990]
HTTP GET /static/unfold/fonts/inter/styles.css 200 [0.01, 127.0.0.1:12990]
HTTP GET /static/unfold/fonts/material-symbols/styles.css 200 [0.00, 127.0.0.1:12993]
HTTP GET /static/admin/css/custom_admin.css 200 [0.02, 127.0.0.1:12985]
HTTP GET /static/admin/css/dashboard-redesign.css 200 [0.02, 127.0.0.1:12869]
HTTP GET /static/admin/css/custom.css 200 [0.02, 127.0.0.1:12991]
HTTP GET /static/admin/css/custom_table.css 200 [0.02, 127.0.0.1:12992]
